시흥 일반 카페 목록,,,,,,,,,,,,
특징형 카페를 제외한 일반 커피·디저트·무인카페 등,,,,,,,,,,,,
총 353곳,,,,,,,,,,,,
id,place_name,category_name,category_group_code,category_group_name,address_name,road_address_name,phone,x,y,place_url,검색카테고리,검색기준지점
1415713985,거북섬구구당,음식점 > 카페,CE7,카페,경기 시흥시 정왕동 2706-11,경기 시흥시 거북섬둘레길 5-7,010-2345-5102,126.67542500,37.32546235,http://place.map.kakao.com/1415713985,카페,거북섬
1855211348,과일담은요거트맛집요맛 시흥거북섬점,음식점 > 카페 > 테마카페 > 디저트카페 > 과일담은요거트맛집요맛,CE7,카페,경기 시흥시 정왕동 2703-6,경기 시흥시 거북섬2길 5,,126.67772419,37.32551369,http://place.map.kakao.com/1855211348,카페,거북섬
660397595,누군가에게 거북섬점,음식점 > 카페 > 커피전문점,CE7,카페,경기 시흥시 정왕동 2731,경기 시흥시 거북섬로 110,031-319-2305,126.67752162,37.32063947,http://place.map.kakao.com/660397595,카페,거북섬
1778178657,뉴라이프,음식점 > 카페,CE7,카페,경기 시흥시 정왕동 2731-2,경기 시흥시 거북섬로 116,,126.67874322,37.32016524,http://place.map.kakao.com/1778178657,카페,거북섬
737825944,뉴플레이스,음식점 > 카페 > 커피전문점,CE7,카페,경기 시흥시 정왕동 2703-9,경기 시흥시 거북섬1길 6,,126.67699682,37.32569281,http://place.map.kakao.com/737825944,카페,거북섬
1430385453,디저트39 시흥거북섬점,음식점 > 카페 > 테마카페 > 디저트카페 > 디저트39,CE7,카페,경기 시흥시 정왕동 2703-6,경기 시흥시 거북섬2길 5,031-497-0103,126.67772419,37.32551369,http://place.map.kakao.com/1430385453,카페,거북섬
51596682,랑데자뷰 시흥거북섬점,음식점 > 카페,CE7,카페,경기 시흥시 정왕동 2720-2,경기 시흥시 거북섬4길 10,,126.68249595,37.32303073,http://place.map.kakao.com/51596682,카페,거북섬
582257897,매머드익스프레스 시흥호반써밋더프라임점,음식점 > 카페 > 커피전문점 > 매머드익스프레스,CE7,카페,경기 시흥시 정왕동 2732,경기 시흥시 거북섬남로 77,,126.68801162,37.32227593,http://place.map.kakao.com/582257897,카페,거북섬
478865131,모리커피 시흥거북섬점,음식점 > 카페 > 커피전문점 > 모리커피,CE7,카페,경기 시흥시 정왕동 2700,경기 시흥시 거북섬둘레길 33,070-4187-5252,126.67958400,37.32541512,http://place.map.kakao.com/478865131,카페,거북섬
1245630354,봉명동내커피 시흥거북섬점,음식점 > 카페 > 커피전문점 > 봉명동내커피,CE7,카페,경기 시흥시 정왕동 2711,경기 시흥시 거북섬남로 11,031-431-7796,126.68509161,37.32393780,http://place.map.kakao.com/1245630354,카페,거북섬
2064237812,블루웨이브커피 시흥 거북섬점,음식점 > 카페,CE7,카페,경기 시흥시 정왕동 2720-3,경기 시흥시 거북섬4길 14,,126.68278268,37.32272335,http://place.map.kakao.com/2064237812,카페,거북섬
1600306859,블루웨이브커피 웨이브파크점,음식점 > 카페,CE7,카페,경기 시흥시 정왕동 2720-3,경기 시흥시 거북섬4길 14,,126.68277252,37.32272513,http://place.map.kakao.com/1600306859,카페,거북섬
1446075531,블루트렁크 오이도거북섬본점,음식점 > 카페,CE7,카페,경기 시흥시 정왕동 2731,경기 시흥시 거북섬로 110,031-431-5332,126.67753673,37.32080169,http://place.map.kakao.com/1446075531,카페,거북섬
765190514,비스타카페,음식점 > 카페,CE7,카페,경기 시흥시 정왕동 2731-4,경기 시흥시 거북섬로 130,010-2562-3623,126.68031428,37.32002173,http://place.map.kakao.com/765190514,카페,거북섬
1237455717,빙수를품은달인 거북섬점,음식점 > 카페,CE7,카페,경기 시흥시 정왕동 2725,경기 시흥시 거북섬로 135,,126.68087817,37.32086932,http://place.map.kakao.com/1237455717,카페,거북섬
