ID,병원명,카테고리,카테고리그룹코드,카테고리그룹명,지번주소,도로명주소,전화번호,경도,위도,장소URL,검색카테고리,검색기준지점
839428807,동그라미동물의료센터,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 장곡동 260-21,경기 시흥시 진말1로 18,031-317-0117,126.78969819,37.37781802,http://place.map.kakao.com/839428807,병원,능곡
406913580,바른마음동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 능곡동 719,경기 시흥시 장현능곡로 178,031-778-7512,126.80990983,37.36961327,http://place.map.kakao.com/406913580,병원,능곡
419916224,이산동물의료센터,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 능곡동 457-12,경기 시흥시 능곡번영길 22,031-8042-6016,126.80787145,37.36986677,http://place.map.kakao.com/419916224,병원,능곡
7998686,박한준종합동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 대야동 490-2,경기 시흥시 복지로 47,031-315-7582,126.78909685,37.44373544,http://place.map.kakao.com/7998686,병원,대야·신천
1024083086,시흥i동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 대야동 693,경기 시흥시 수인로3312번길 16,031-8042-7511,126.78895740,37.44108080,http://place.map.kakao.com/1024083086,병원,대야·신천
12625601,이지종합동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 대야동 562-5,경기 시흥시 비둘기공원로 21,031-314-7975,126.79196663,37.44393154,http://place.map.kakao.com/12625601,병원,대야·신천
12888520,능곡동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 능곡동 762,경기 시흥시 승지로60번길 25,,126.81223953,37.36796992,http://place.map.kakao.com/12888520,병원,목감
1485665683,목감동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 조남동 169-45,경기 시흥시 동서로 1064,031-482-7585,126.85992670,37.38389403,http://place.map.kakao.com/1485665683,병원,목감
1336623844,목감시티동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 조남동 707-1,경기 시흥시 목감둘레로 253-24,031-504-7559,126.86064573,37.38096836,http://place.map.kakao.com/1336623844,병원,목감
655511613,목감준동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 조남동 657-2,경기 시흥시 목감남서로 9-15,031-8042-7523,126.85230820,37.37762535,http://place.map.kakao.com/655511613,병원,목감
252343462,호수동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 조남동 657-1,경기 시흥시 목감남서로 9-19,031-403-0075,126.85277080,37.37778361,http://place.map.kakao.com/252343462,병원,목감
1121271654,24시 스마트 동물의료센터,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 배곧동 194-2,경기 시흥시 배곧3로 86,031-432-1224,126.72957324,37.37007678,http://place.map.kakao.com/1121271654,병원,배곧
690293931,내친구동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 배곧동 193-1,경기 시흥시 서울대학로278번길 19-14,,126.72865175,37.37015395,http://place.map.kakao.com/690293931,병원,배곧
641618266,닥터원동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 배곧동 191,경기 시흥시 서울대학로278번길 19-13,031-432-6991,126.72765763,37.37158340,http://place.map.kakao.com/641618266,병원,배곧
110023940,만세동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 배곧동 75,경기 시흥시 배곧4로 95,031-319-7583,126.73396739,37.37414225,http://place.map.kakao.com/110023940,병원,배곧
523863777,배곧동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 배곧동 199-1,경기 시흥시 배곧3로 96,031-503-6611,126.73067152,37.36949452,http://place.map.kakao.com/523863777,병원,배곧
934250016,비타민동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 배곧동 131,경기 시흥시 배곧4로 32-27,031-432-9119,126.72556261,37.37768929,http://place.map.kakao.com/934250016,병원,배곧
2124630169,연희동물의료원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 장곡동 345-1,경기 시흥시 인선1길 8,031-315-5119,126.78819943,37.37799645,http://place.map.kakao.com/2124630169,병원,연성
266273910,윤슬동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 월곶동 1011-6,경기 시흥시 월곶중앙로 87-1,031-404-8566,126.73567968,37.38969862,http://place.map.kakao.com/266273910,병원,월곶
718297058,24시위드유동물의료센터,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 은행동 646,경기 시흥시 은계번영길 1,031-318-4975,126.80155677,37.43645340,http://place.map.kakao.com/718297058,병원,은행·은계
370915499,고래동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 은행동 646-5,경기 시흥시 은계번영길 11,031-505-7588,126.80219388,37.43737800,http://place.map.kakao.com/370915499,병원,은행·은계
689223504,시흥탑동물의료센터,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 은행동 611-1,경기 시흥시 은계호수로 31,031-316-0750,126.80342607,37.44451339,http://place.map.kakao.com/689223504,병원,은행·은계
907619832,온숲동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 은행동 671-1,경기 시흥시 은계남길 44,031-362-5702,126.79984671,37.43068582,http://place.map.kakao.com/907619832,병원,은행·은계
173221088,은계동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 은행동 646-8,경기 시흥시 은계번영길 19,031-315-7588,126.80308647,37.43740382,http://place.map.kakao.com/173221088,병원,은행·은계
25815670,애니온동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 정왕동 1729-2,경기 시흥시 군자천로 335,031-499-7991,126.73463188,37.34671204,http://place.map.kakao.com/25815670,병원,정왕
27419020,위드동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 정왕동 1734-7,경기 시흥시 정왕대로 230,031-488-8075,126.73846123,37.34474641,http://place.map.kakao.com/27419020,병원,정왕
1842518658,정다운동물병원,"가정,생활 > 반려동물 > 동물병원",HP8,병원,경기 시흥시 정왕동 1731-1,경기 시흥시 중심상가로 146,031-498-7582,126.73219426,37.34667411,http://place.map.kakao.com/1842518658,병원,정왕
