검색카테고리,id,place_name,category_name,세부분류,착한가격업소여부,category_group_code,category_group_name,phone,address_name,road_address_name,x,y,place_url,법정동코드,법정동명,법정동_시도,법정동_시군구,법정동_읍면동,법정동_리,행정동코드,행정동명,행정동_시도,행정동_시군구,행정동_읍면동,수집시각
음식점,1831215554,1992덮밥&짜글이 시흥대야점,음식점 > 한식,한식,0,FD6,음식점,0507-2079-2838,경기 시흥시 대야동 494-7,경기 시흥시 복지로43번길 29,126.785941942631,37.4444640916713,http://place.map.kakao.com/1831215554,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:09:25+09:00
음식점,142347367,3피엠포차,음식점 > 술집 > 실내포장마차,주점,0,FD6,음식점,,경기 시흥시 대야동 475-11,경기 시흥시 복지로53번길 22-1,126.787305076372,37.4451621345365,http://place.map.kakao.com/142347367,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:09:25+09:00
음식점,1248865367,520맥주,"음식점 > 술집 > 호프,요리주점",주점,0,FD6,음식점,,경기 시흥시 대야동 489,경기 시흥시 대야로3번길 9,126.78761281400043,37.44423554561305,http://place.map.kakao.com/1248865367,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:09:25+09:00
음식점,266150392,9찬김치찌개 시흥대야점,"음식점 > 한식 > 찌개,전골 > 9찬김치찌개",한식,0,FD6,음식점,,경기 시흥시 대야동 461-4,경기 시흥시 호현로85번길 6,126.787181368552,37.4473441646243,http://place.map.kakao.com/266150392,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:09:25+09:00
음식점,858113751,BBQ 시흥대야역점,음식점 > 치킨 > BBQ,치킨,0,FD6,음식점,031-313-2989,경기 시흥시 대야동 650,경기 시흥시 은계중앙로 374,126.795080053277,37.4509234294487,http://place.map.kakao.com/858113751,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:09:25+09:00
음식점,493456325,BHC치킨 시흥대야위브점,음식점 > 치킨 > BHC치킨,치킨,0,FD6,음식점,031-313-9242,경기 시흥시 대야동 694,경기 시흥시 서해안로 1645,126.78930831542094,37.45174221205166,http://place.map.kakao.com/493456325,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:09:25+09:00
음식점,790283485,BHC치킨 시흥대야점,음식점 > 치킨 > BHC치킨,치킨,0,FD6,음식점,,경기 시흥시 대야동 541-17,경기 시흥시 비둘기공원6길 25,126.790873476493,37.4416356294938,http://place.map.kakao.com/790283485,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:09:25+09:00
음식점,2031115985,BHC치킨 시흥센트럴푸르지오점,음식점 > 치킨 > BHC치킨,치킨,0,FD6,음식점,031-504-3352,경기 시흥시 대야동 693,경기 시흥시 수인로3312번길 16,126.78864532652685,37.43994316677542,http://place.map.kakao.com/2031115985,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:09:25+09:00
음식점,417695209,C바,음식점 > 술집,주점,0,FD6,음식점,,경기 시흥시 대야동 540-1,경기 시흥시 비둘기공원5길 23,126.790252651788,37.4422003658525,http://place.map.kakao.com/417695209,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:09:25+09:00
음식점,824980580,가마솥백암알천순대곱창볶음,음식점 > 한식 > 순대,한식,0,FD6,음식점,070-4007-0687,경기 시흥시 대야동 475-11,경기 시흥시 복지로53번길 22-1,126.787377645145,37.4450757678778,http://place.map.kakao.com/824980580,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:09:25+09:00
음식점,1781384995,가사명가,음식점 > 중식 > 중국요리,아시안,0,FD6,음식점,031-315-2220,경기 시흥시 대야동 456-29,경기 시흥시 대야로 41-1,126.79051926401822,37.44709063624455,http://place.map.kakao.com/1781384995,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:09:25+09:00
음식점,54139858,가산팔복초밥 시흥대야점,"음식점 > 일식 > 초밥,롤",아시안,0,FD6,음식점,070-8832-5092,경기 시흥시 대야동 541-16,경기 시흥시 비둘기공원1길 23,126.79102635604642,37.44151786712955,http://place.map.kakao.com/54139858,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:09:25+09:00
음식점,918013088,가장맛있는족발 시흥대야점,"음식점 > 한식 > 육류,고기 > 족발,보쌈 > 가장맛있는족발",한식,0,FD6,음식점,031-313-5849,경기 시흥시 대야동 537,경기 시흥시 비둘기공원5길 15,126.79050194078675,37.44276574333914,http://place.map.kakao.com/918013088,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:09:25+09:00
