개방자치단체코드,관리번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점,학교급
4010000,202640100000800164,경기도 시흥시,경기도 시흥시 월곶중앙로14번길 56,경기도 시흥시 월곶동 1024,교통단속,3,200,360도 전방면,30,202412,031-310-5132,37.39097928,126.7425442,2026-01-20,I,2026-05-15 18:45:39,2026-03-09 15:19:47,
4010000,202640100000800165,경기도 시흥시,경기도 시흥시 시청로 78,경기도 시흥시 장현동 538-1,교통단속,5,200,360도 전방면,30,202412,031-310-5132,37.38104822,126.7988669,2026-01-20,I,2026-05-15 18:45:39,2026-03-09 15:19:48,
4010000,202640100000800166,경기도 시흥시,경기도 시흥시 서울대학로264번길 26-11,경기도 시흥시 배곧동 226-3,교통단속,3,200,360도 전방면,30,202412,031-310-5132,37.36705653,126.7260883,2026-01-20,I,2026-05-15 18:45:39,2026-03-09 15:19:48,
4010000,202640100000800167,경기도 시흥시,경기도 시흥시 시화벤처로 400,경기도 시흥시 정왕동 2676,교통단속,4,200,360도 전방면,30,202412,031-310-5132,37.31329919,126.7188997,2026-01-20,I,2026-05-15 18:45:39,2026-03-09 15:19:48,
4010000,202640100000800168,경기도 시흥시,경기도 시흥시 시화벤처로 400,경기도 시흥시 정왕동 2676,교통단속,4,200,360도 전방면,30,202412,031-310-5132,37.31212905,126.7177222,2026-01-20,I,2026-05-15 18:45:39,2026-03-09 15:19:48,
4010000,202640100000800169,경기도 시흥시,경기도 시흥시 포도원로109번길 9,경기도 시흥시 신천동 204-2,교통단속,5,200,360도 전방면,30,202412,031-310-5132,37.4351679,126.7836294,2026-01-20,I,2026-05-15 18:45:39,2026-03-09 15:19:48,
4010000,202640100000800170,경기도 시흥시,경기도 시흥시 배곧4로102,경기도 시흥시 배곧동 116,교통단속,3,200,360도 전방면,30,202412,031-310-5132,37.37370426,126.7343994,2026-01-20,I,2026-05-15 18:45:39,2026-03-09 15:19:48,
4010000,202640100000800171,경기도 시흥시,경기도 시흥시 수인로 2365,경기도 시흥시 논곡동 163-3,교통단속,3,200,360도 전방면,30,202412,031-310-5132,37.39009521,126.8601065,2026-01-20,I,2026-05-15 18:45:39,2026-03-09 15:19:48,
4010000,202640100000800172,경기도 시흥시,경기도 시흥시 거북섬남로 77,경기도 시흥시 정왕동 2732,교통단속,3,200,360도 전방면,30,202412,031-310-5132,37.32062401,126.6900366,2026-01-20,I,2026-05-15 18:45:39,2026-03-09 15:19:48,
4010000,202640100000800173,경기도 시흥시,경기도 시흥시 거북섬남로 77,경기도 시흥시 정왕동 2732,교통단속,5,200,360도 전방면,30,202412,031-310-5132,37.3234125,126.6888923,2026-01-20,I,2026-05-15 18:45:39,2026-03-09 15:19:48,
4010000,202640100000800174,경기도 시흥시,경기도 시흥시 거북섬남로 77,경기도 시흥시 정왕동 2732,교통단속,5,200,360도 전방면,30,202412,031-310-5132,37.32207842,126.6875799,2026-01-20,I,2026-05-15 18:45:39,2026-03-09 15:19:48,
4010000,202640100000800175,경기도 시흥시,경기도 시흥시 엠티브이북로 51-15,경기도 시흥시 정왕동 2638,교통단속,4,200,360도 전방면,30,202312,031-310-5132,37.33022703,126.6880355,2026-01-20,I,2026-05-15 18:45:39,2026-03-09 15:19:48,
4010000,202640100000800176,경기도 시흥시,경기도 시흥시 거북섬로 211,경기도 시흥시 정왕동 2713-3,교통단속,3,200,360도 전방면,30,202412,031-310-5132,37.3232366,126.6875971,2026-01-20,I,2026-05-15 18:45:39,2026-03-09 15:19:48,
4010000,202640100000800177,경기도 시흥시,경기도 시흥시 배곧4로 32-23,경기도 시흥시 배곧동 129,교통단속,3,200,360도 전방면,30,202312,031-310-5132,37.37780199,126.7260517,2026-01-20,I,2026-05-15 18:45:39,2026-03-09 15:19:48,
