id,place_name,category_name,category_group_code,category_group_name,address_name,road_address_name,phone,x,y,place_url,검색카테고리,검색기준지점,시설유형,검색키워드
2118380909,떡또아즉석떡볶이,음식점 > 분식 > 떡볶이,FD6,음식점,경기 시흥시 대야동 469-4,경기 시흥시 대야로 18,,126.789396538234,37.4448640404239,http://place.map.kakao.com/2118380909,음식점,대야·신천,음식점,
306322346,떡또아떡카페,"음식점 > 간식 > 떡,한과",FD6,음식점,경기 시흥시 대야동 469-4,경기 시흥시 대야로 18,,126.789396538234,37.4448640404239,http://place.map.kakao.com/306322346,음식점,대야·신천,음식점,
1140674344,블럭제빵소 시흥대야점,"음식점 > 간식 > 제과,베이커리 > 블럭제빵소",FD6,음식점,경기 시흥시 대야동 469-6,경기 시흥시 복지로 55,031-404-3004,126.789461326217,37.4443271521134,http://place.map.kakao.com/1140674344,음식점,대야·신천,음식점,
1753756974,돈짱,음식점 > 한식,FD6,음식점,경기 시흥시 대야동 471-12,경기 시흥시 복지로63번길 9,031-316-3027,126.78897163271613,37.44526693632923,http://place.map.kakao.com/1753756974,음식점,대야·신천,음식점,
1555212959,우정포차,음식점 > 술집 > 실내포장마차,FD6,음식점,경기 시흥시 대야동 455-3,경기 시흥시 복지로71번길 4,010-9648-3780,126.790166443257,37.4459592394268,http://place.map.kakao.com/1555212959,음식점,대야·신천,음식점,
26318537,고봉민김밥인 시흥대야점,음식점 > 분식 > 고봉민김밥인,FD6,음식점,경기 시흥시 대야동 532-1,경기 시흥시 비둘기공원로 10,031-314-1325,126.79071543272224,37.44401312381998,http://place.map.kakao.com/26318537,음식점,대야·신천,음식점,
944750525,문화골순대국,음식점 > 한식,FD6,음식점,경기 시흥시 대야동 488-8,경기 시흥시 대야로 7,,126.788796912498,37.4443061444338,http://place.map.kakao.com/944750525,음식점,대야·신천,음식점,
8571297,태호장,음식점 > 중식 > 중국요리,FD6,음식점,경기 시흥시 대야동 488-7,경기 시흥시 복지로53번길 7,031-314-5311,126.788665497281,37.4444230412232,http://place.map.kakao.com/8571297,음식점,대야·신천,음식점,
1268516370,알쭈 시흥점,"음식점 > 한식 > 해물,생선",FD6,음식점,경기 시흥시 대야동 488-8,경기 시흥시 대야로 7,,126.78880163530344,37.44423407183037,http://place.map.kakao.com/1268516370,음식점,대야·신천,음식점,
9047869,복음각,음식점 > 중식 > 중국요리,FD6,음식점,경기 시흥시 대야동 470-4,경기 시흥시 복지로53번길 14,031-314-0755,126.788266734028,37.4447719205789,http://place.map.kakao.com/9047869,음식점,대야·신천,음식점,
869656032,스시락 시흥대야점,"음식점 > 일식 > 초밥,롤",FD6,음식점,경기 시흥시 대야동 472-25,경기 시흥시 복지로63번길 16,031-315-0425,126.788399767836,37.4456857858847,http://place.map.kakao.com/869656032,음식점,대야·신천,음식점,
816546800,고향옛잔치국수&김밥,음식점 > 한식 > 국수,FD6,음식점,경기 시흥시 대야동 471,경기 시흥시 복지로63번길 15,,126.78829630403,37.4455072000679,http://place.map.kakao.com/816546800,음식점,대야·신천,음식점,
1327139166,소문난죽집,음식점 > 한식,FD6,음식점,경기 시흥시 대야동 488-1,경기 시흥시 복지로53번길 11,,126.78825711197388,37.44457728454134,http://place.map.kakao.com/1327139166,음식점,대야·신천,음식점,
27357310,삼대족발 대야점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",FD6,음식점,경기 시흥시 대야동 532-3,경기 시흥시 비둘기공원5길 6,031-311-7255,126.79050415483071,37.443592877396426,http://place.map.kakao.com/27357310,음식점,대야·신천,음식점,
549530203,펀비어킹 시흥대야점,"음식점 > 술집 > 호프,요리주점 > 펀비어킹",FD6,음식점,경기 시흥시 대야동 532-3,경기 시흥시 비둘기공원5길 6,031-312-7255,126.79057078947,37.4436065106832,http://place.map.kakao.com/549530203,음식점,대야·신천,음식점,
123738216,굽네치킨 시흥대야점,음식점 > 치킨 > 굽네치킨,FD6,음식점,경기 시흥시 대야동 470,경기 시흥시 대골안길 51,031-313-9294,126.78805559801494,37.4451067189625,http://place.map.kakao.com/123738216,음식점,대야·신천,음식점,
20100046,탐나짬뽕,음식점 > 중식 > 중국요리,FD6,음식점,경기 시흥시 대야동 467-23,경기 시흥시 대골안길 39,031-313-4678,126.788674232835,37.4461385853598,http://place.map.kakao.com/20100046,음식점,대야·신천,음식점,
