id,place_name,category_name,category_group_code,category_group_name,address_name,road_address_name,phone,x,y,place_url,검색카테고리,검색기준지점
1767858328,신천종로약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 대야동 469-1,경기 시흥시 복지로 61,031-313-3880,126.78970089711734,37.4447312324474,http://place.map.kakao.com/1767858328,약국,대야·신천
10604993,신천그랜드약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 대야동 469-6,경기 시흥시 복지로 55,031-312-0993,126.789452225221,37.4443487602142,http://place.map.kakao.com/10604993,약국,대야·신천
13517684,신우주약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 대야동 532-6,경기 시흥시 비둘기공원로 8,031-504-7115,126.790447443591,37.4440730168671,http://place.map.kakao.com/13517684,약국,대야·신천
460875587,늘푸른온누리약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 대야동 455-2,경기 시흥시 복지로 75,031-313-3332,126.790474596852,37.4460877299278,http://place.map.kakao.com/460875587,약국,대야·신천
25756286,새우리약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 대야동 532-1,경기 시흥시 비둘기공원로 10,070-4239-9005,126.79075730462304,37.443991573640325,http://place.map.kakao.com/25756286,약국,대야·신천
260127817,다나약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 대야동 534-1,경기 시흥시 비둘기공원6길 4,070-4888-4559,126.791526992778,37.4435397241191,http://place.map.kakao.com/260127817,약국,대야·신천
1916921339,파마트삼보약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 대야동 562-1,경기 시흥시 비둘기공원7길 18,031-311-0119,126.7931077677325,37.44441738550867,http://place.map.kakao.com/1916921339,약국,대야·신천
10812073,큰사랑약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 대야동 568-2,경기 시흥시 복지로 96,031-311-4255,126.79183193638688,37.44727135603284,http://place.map.kakao.com/10812073,약국,대야·신천
17850046,예원약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 대야동 442-4,경기 시흥시 복지로93번길 4,031-435-7301,126.791481204224,37.4478230584836,http://place.map.kakao.com/17850046,약국,대야·신천
10931869,한빛약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 대야동 484-7,경기 시흥시 호현로 49,031-312-3610,126.78501965881236,37.44491382520484,http://place.map.kakao.com/10931869,약국,대야·신천
23483409,더아름다운약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 신천동 711-2,경기 시흥시 수인로 3362,031-314-2100,126.785494014048,37.4406546966056,http://place.map.kakao.com/23483409,약국,대야·신천
1494371740,함께하는약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 대야동 418-57,경기 시흥시 수인로 3330,031-8042-6337,126.788781258371,37.4394226238327,http://place.map.kakao.com/1494371740,약국,대야·신천
1870220062,신천중앙약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 신천동 711,경기 시흥시 수인로 3366,031-313-0542,126.784964557816,37.4408699777981,http://place.map.kakao.com/1870220062,약국,대야·신천
551126397,신천햇빛약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 신천동 712-10,경기 시흥시 수인로 3370,031-312-8836,126.784634218882,37.4410018253255,http://place.map.kakao.com/551126397,약국,대야·신천
7990113,신천프라자약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 신천동 712-9,경기 시흥시 수인로 3372,031-404-9311,126.78432210621912,37.441082347434175,http://place.map.kakao.com/7990113,약국,대야·신천
13555041,그린약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 대야동 574,경기 시흥시 대은로 83,031-435-2250,126.79751488139271,37.444877326396686,http://place.map.kakao.com/13555041,약국,대야·신천
9083403,새천년약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 신천동 733-2,경기 시흥시 삼미시장1길 1,031-312-2555,126.785794674892,37.439833517462,http://place.map.kakao.com/9083403,약국,대야·신천
13523765,팜약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 신천동 712-3,경기 시흥시 수인로 3378,031-313-7764,126.78372477596604,37.44132092552595,http://place.map.kakao.com/13523765,약국,대야·신천
13551705,지리산약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 신천동 737-4,경기 시흥시 삼미시장1길 11,031-314-0081,126.78501067957995,37.44015285491383,http://place.map.kakao.com/13551705,약국,대야·신천
1959436711,시흥메가온누리약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 신천동 768-2,경기 시흥시 수인로3335번길 6,,126.787379903623,37.4390858352128,http://place.map.kakao.com/1959436711,약국,대야·신천
13554630,효약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 대야동 579-3,경기 시흥시 은행로167번길 6,031-311-1707,126.797960492517,37.4455817801388,http://place.map.kakao.com/13554630,약국,대야·신천
547774799,대야약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 대야동 645,경기 시흥시 은계로 353,031-312-8255,126.7945211700055,37.45031157286297,http://place.map.kakao.com/547774799,약국,대야·신천
753398878,명약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 신천동 766-1,경기 시흥시 신천천동로 7,031-313-0227,126.786269854349,37.4392306984628,http://place.map.kakao.com/753398878,약국,대야·신천
21853817,중앙약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 은행동 532-1,경기 시흥시 대은로 90,031-316-2176,126.79837541479988,37.44467066347672,http://place.map.kakao.com/21853817,약국,대야·신천
771051214,케이제이팜,"의료,건강 > 약국",PM9,약국,경기 시흥시 신천동 766-3,경기 시흥시 신천로 95,,126.7859925814,37.4389842200044,http://place.map.kakao.com/771051214,약국,대야·신천
2114955376,대홍약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 신천동 743-2,경기 시흥시 삼미시장1길 37,031-311-4544,126.78260109149024,37.44108730362981,http://place.map.kakao.com/2114955376,약국,대야·신천
963793454,참약사수약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 대야동 650-1,경기 시흥시 은계중앙로306번길 82,031-8042-7220,126.79479808729,37.4511274699711,http://place.map.kakao.com/963793454,약국,대야·신천
293204760,시흥혜민프라자약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 은행동 530-3,경기 시흥시 은행로 149,031-311-5691,126.79933561193305,37.444380369309485,http://place.map.kakao.com/293204760,약국,대야·신천
13551792,사랑가득약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 신천동 735-3,경기 시흥시 삼미시장4길 8,031-311-1159,126.783974780549,37.4392607646933,http://place.map.kakao.com/13551792,약국,대야·신천
480235322,느티나무약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 은행동 528-1,경기 시흥시 대은로 100,031-318-0008,126.799385169356,37.4452886746531,http://place.map.kakao.com/480235322,약국,대야·신천
225545177,삼미스타약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 신천동 740,경기 시흥시 수인로3381번길 13,031-312-8183,126.782790289211,37.4401370822284,http://place.map.kakao.com/225545177,약국,대야·신천
9503567,태광약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 신천동 760-14,경기 시흥시 삼미시장4길 9,031-311-7781,126.783472708882,37.4393859879383,http://place.map.kakao.com/9503567,약국,대야·신천
12531790,푸른솔온누리약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 은행동 539-4,경기 시흥시 은행로 130,031-312-2142,126.7999640011182,37.442653290968046,http://place.map.kakao.com/12531790,약국,대야·신천
13523898,신천큰사랑약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 신천동 853-1,경기 시흥시 신천로80번길 2,031-314-8276,126.78627662658356,37.43724667806815,http://place.map.kakao.com/13523898,약국,대야·신천
1330017127,삼호약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 은행동 539-8,경기 시흥시 은행로 130,,126.800015824033,37.44271284555,http://place.map.kakao.com/1330017127,약국,대야·신천
1057095723,아름약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 신천동 759-7,경기 시흥시 수인로3381번길 27,031-404-9176,126.78262682497146,37.43883211392986,http://place.map.kakao.com/1057095723,약국,대야·신천
971704768,365봄날약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 은행동 93-3,경기 시흥시 은행고길 28,031-8042-3034,126.79932831989,37.4407636889531,http://place.map.kakao.com/971704768,약국,대야·신천
1531591370,은계약국,"의료,건강 > 약국",PM9,약국,경기 시흥시 은행동 611,경기 시흥시 은계로 260,031-314-7712,126.80307287152704,37.44474976353757,http://place.map.kakao.com/1531591370,약국,대야·신천
